Amount pf people, age  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142236, 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145103, 19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149759, 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148881, 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148259, 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152362, 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155597, 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160285, 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164233, 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168664, 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168712, 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173028, 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173625, 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178281, 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180445, 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182802, 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184846, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185395, 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182319, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177317, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16654, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9326990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
